grasspea,faba,medicago,pea
LATSA3860_EIv1.0_0405310,Vfaba.Hedin2.R1.3g071640,MtrunA17_Chr1g0187681,Psat6g116360
LATSA3860_EIv1.0_0405880,Vfaba.Hedin2.R1.1g078280,MtrunA17_Chr2g0316741,Psat5g241400
LATSA3860_EIv1.0_0405890,Vfaba.Hedin2.R1.1g078200,MtrunA17_Chr2g0316751,Psat5g241440
LATSA3860_EIv1.0_0405910,Vfaba.Hedin2.R1.1g078160,MtrunA17_Chr2g0316841,Psat5g241480
LATSA3860_EIv1.0_0406750,Vfaba.Hedin2.R1.3g082200,MtrunA17_Chr1g0190731,Psat6g146080
LATSA3860_EIv1.0_0406780,Vfaba.Hedin2.R1.3g082360,MtrunA17_Chr1g0190761,Psat6g144640
LATSA3860_EIv1.0_0406810,Vfaba.Hedin2.R1.3g082480,MtrunA17_Chr1g0190801,Psat6g146440
LATSA3860_EIv1.0_0406830,Vfaba.Hedin2.R1.3g082560,MtrunA17_Chr1g0190831,Psat6g146600
LATSA3860_EIv1.0_0407980,Vfaba.Hedin2.R1.5g147320,MtrunA17_Chr7g0265901,Psat3g035000
LATSA3860_EIv1.0_0408010,Vfaba.Hedin2.R1.5g147080,MtrunA17_Chr7g0265891,Psat3g053520
LATSA3860_EIv1.0_0408640,Vfaba.Hedin2.R1.3g195320,MtrunA17_Chr1g0146581,Psat6g036520
LATSA3860_EIv1.0_0408660,Vfaba.Hedin2.R1.3g195280,MtrunA17_Chr1g0146561,Psat6g036480
LATSA3860_EIv1.0_0408680,Vfaba.Hedin2.R1.3g195240,MtrunA17_Chr1g0146551,Psat6g036400
LATSA3860_EIv1.0_0408720,Vfaba.Hedin2.R1.3g195040,MtrunA17_Chr1g0146481,Psat6g036160
LATSA3860_EIv1.0_0408730,Vfaba.Hedin2.R1.3g195000,MtrunA17_Chr1g0146471,Psat6g036120
LATSA3860_EIv1.0_0408750,Vfaba.Hedin2.R1.3g194880,MtrunA17_Chr1g0146411,Psat6g037040
LATSA3860_EIv1.0_0409650,Vfaba.Hedin2.R1.6g159960,MtrunA17_Chr8g0384961,Psat7g042960
LATSA3860_EIv1.0_0411150,Vfaba.Hedin2.R1.1g445320,MtrunA17_Chr2g0290311,Psat1g173720
LATSA3860_EIv1.0_0412340,Vfaba.Hedin2.R1.5g156600,MtrunA17_Chr7g0268041,Psat3g027160
LATSA3860_EIv1.0_0412350,Vfaba.Hedin2.R1.5g156560,MtrunA17_Chr7g0268031,Psat3g026960
LATSA3860_EIv1.0_0412500,Vfaba.Hedin2.R1.5g155520,MtrunA17_Chr7g0267851,Psat3g027920
LATSA3860_EIv1.0_0412510,Vfaba.Hedin2.R1.5g155480,MtrunA17_Chr7g0267811,Psat3g027960
LATSA3860_EIv1.0_0412580,Vfaba.Hedin2.R1.5g155320,MtrunA17_Chr7g0267721,Psat3g028120
LATSA3860_EIv1.0_0412590,Vfaba.Hedin2.R1.5g155240,MtrunA17_Chr7g0267711,Psat3g028160
LATSA3860_EIv1.0_0412600,Vfaba.Hedin2.R1.5g155160,MtrunA17_Chr7g0267701,Psat3g028200
LATSA3860_EIv1.0_0413390,Vfaba.Hedin2.R1.5g189800,MtrunA17_Chr7g0275111,Psat3g005000
LATSA3860_EIv1.0_0413410,Vfaba.Hedin2.R1.5g189720,MtrunA17_Chr7g0275121,Psat3g005040
LATSA3860_EIv1.0_0413420,Vfaba.Hedin2.R1.5g189680,MtrunA17_Chr7g0275131,Psat3g005080
LATSA3860_EIv1.0_0413470,Vfaba.Hedin2.R1.5g189600,MtrunA17_Chr7g0275191,Psat3g005360
LATSA3860_EIv1.0_0413570,Vfaba.Hedin2.R1.5g190080,MtrunA17_Chr7g0275251,Psat3g004680
LATSA3860_EIv1.0_0414260,Vfaba.Hedin2.R1.3g080280,MtrunA17_Chr1g0190291,Psat6g143640
LATSA3860_EIv1.0_0414270,Vfaba.Hedin2.R1.3g080240,MtrunA17_Chr1g0190281,Psat6g143480
LATSA3860_EIv1.0_0417630,Vfaba.Hedin2.R1.1g048680,MtrunA17_Chr2g0324301,Psat5g271440
LATSA3860_EIv1.0_0417670,Vfaba.Hedin2.R1.1g048760,MtrunA17_Chr2g0324251,Psat5g271360
LATSA3860_EIv1.0_0417680,Vfaba.Hedin2.R1.1g048840,MtrunA17_Chr2g0324241,Psat5g271320
LATSA3860_EIv1.0_0418680,Vfaba.Hedin2.R1.2g035440,MtrunA17_Chr3g0095221,Psat5g194000
LATSA3860_EIv1.0_0419130,Vfaba.Hedin2.R1.2g155280,MtrunA17_Chr3g0131591,Psat5g056040
LATSA3860_EIv1.0_0419620,Vfaba.Hedin2.R1.1g104920,MtrunA17_Chr6g0470571,Psat1g104560
LATSA3860_EIv1.0_0420400,Vfaba.Hedin2.R1.1g016440,MtrunA17_Chr7g0220391,Psat3g203800
LATSA3860_EIv1.0_0420410,Vfaba.Hedin2.R1.1g016560,MtrunA17_Chr7g0220411,Psat0s1027g0040
LATSA3860_EIv1.0_0420430,Vfaba.Hedin2.R1.1g016640,MtrunA17_Chr7g0220421,Psat3g208160
LATSA3860_EIv1.0_0420440,Vfaba.Hedin2.R1.1g016720,MtrunA17_Chr7g0220431,Psat3g204720
LATSA3860_EIv1.0_0420550,Vfaba.Hedin2.R1.1g017080,MtrunA17_Chr7g0220461,Psat3g194480
LATSA3860_EIv1.0_0420580,Vfaba.Hedin2.R1.1g017000,MtrunA17_Chr7g0220451,Psat3g194560
LATSA3860_EIv1.0_0421030,Vfaba.Hedin2.R1.1g059600,MtrunA17_Chr2g0322191,Psat5g262520
LATSA3860_EIv1.0_0421050,Vfaba.Hedin2.R1.1g059520,MtrunA17_Chr2g0322211,Psat5g262560
LATSA3860_EIv1.0_0421650,Vfaba.Hedin2.R1.2g114520,MtrunA17_Chr3g0123391,Psat5g092560
LATSA3860_EIv1.0_0421710,Vfaba.Hedin2.R1.2g114640,MtrunA17_Chr3g0123411,Psat5g092520
LATSA3860_EIv1.0_0422360,Vfaba.Hedin2.R1.1g132000,MtrunA17_Chr7g0262491,Psat1g067800
LATSA3860_EIv1.0_0423090,Vfaba.Hedin2.R1.1g338080,MtrunA17_Chr5g0410711,Psat2g138440
LATSA3860_EIv1.0_0423120,Vfaba.Hedin2.R1.1g338240,MtrunA17_Chr5g0410681,Psat0s3175g0040
LATSA3860_EIv1.0_0423200,Vfaba.Hedin2.R1.1g340120,MtrunA17_Chr5g0409581,Psat0s4911g0040
LATSA3860_EIv1.0_0423210,Vfaba.Hedin2.R1.1g340000,MtrunA17_Chr5g0409591,Psat2g141040
LATSA3860_EIv1.0_0423240,Vfaba.Hedin2.R1.1g339960,MtrunA17_Chr5g0409601,Psat2g141080
LATSA3860_EIv1.0_0423310,Vfaba.Hedin2.R1.1g339720,MtrunA17_Chr5g0409731,Psat2g140880
LATSA3860_EIv1.0_0423870,Vfaba.Hedin2.R1.6g039600,MtrunA17_Chr4g0033371,Psat7g214040
LATSA3860_EIv1.0_0423880,Vfaba.Hedin2.R1.6g039560,MtrunA17_Chr4g0033411,Psat7g214000
LATSA3860_EIv1.0_0425010,Vfaba.Hedin2.R1.5g012000,MtrunA17_Chr2g0330191,Psat5g292840
LATSA3860_EIv1.0_0425570,Vfaba.Hedin2.R1.1g099360,MtrunA17_Chr6g0474141,Psat6g091760
LATSA3860_EIv1.0_0426130,Vfaba.Hedin2.R1.1g323760,MtrunA17_Chr5g0417601,Psat2g118560
LATSA3860_EIv1.0_0427180,Vfaba.Hedin2.R1.3g152000,MtrunA17_Chr1g0207301,Psat6g215040
LATSA3860_EIv1.0_0427230,Vfaba.Hedin2.R1.3g152160,MtrunA17_Chr1g0207331,Psat6g215360
LATSA3860_EIv1.0_0427240,Vfaba.Hedin2.R1.3g152280,MtrunA17_Chr1g0207341,Psat6g215320
LATSA3860_EIv1.0_0429290,Vfaba.Hedin2.R1.5g047240,MtrunA17_Chr7g0239391,Psat3g136640
LATSA3860_EIv1.0_0429620,Vfaba.Hedin2.R1.Ung004360,MtrunA17_Chr7g0241651,Psat0s1978g0280
LATSA3860_EIv1.0_0430150,Vfaba.Hedin2.R1.5g086640,MtrunA17_Chr7g0252681,Psat3g091640
LATSA3860_EIv1.0_0430190,Vfaba.Hedin2.R1.5g086800,MtrunA17_Chr7g0252721,Psat0ss1917g0040
LATSA3860_EIv1.0_0430770,Vfaba.Hedin2.R1.3g127440,MtrunA17_Chr1g0201631,Psat6g191240
LATSA3860_EIv1.0_0430790,Vfaba.Hedin2.R1.3g127280,MtrunA17_Chr1g0201611,Psat6g191120
LATSA3860_EIv1.0_0431400,Vfaba.Hedin2.R1.3g227440,MtrunA17_Chr1g0154001,Psat6g011360
LATSA3860_EIv1.0_0431440,Vfaba.Hedin2.R1.3g227600,MtrunA17_Chr1g0154021,Psat6g011440
LATSA3860_EIv1.0_0431480,Vfaba.Hedin2.R1.3g227760,MtrunA17_Chr1g0154241,Psat6g011600
LATSA3860_EIv1.0_0431510,Vfaba.Hedin2.R1.3g227920,MtrunA17_Chr1g0154261,Psat6g010120
LATSA3860_EIv1.0_0431530,Vfaba.Hedin2.R1.3g227960,MtrunA17_Chr1g0154291,Psat6g010240
LATSA3860_EIv1.0_0431540,Vfaba.Hedin2.R1.3g228240,MtrunA17_Chr1g0154301,Psat6g010280
LATSA3860_EIv1.0_0432250,Vfaba.Hedin2.R1.1g128400,MtrunA17_Chr6g0456341,Psat1g063840
LATSA3860_EIv1.0_0432260,Vfaba.Hedin2.R1.Ung070040,MtrunA17_Chr6g0456351,Psat1g063760
LATSA3860_EIv1.0_0432930,Vfaba.Hedin2.R1.1g321600,MtrunA17_Chr5g0416971,Psat2g120280
LATSA3860_EIv1.0_0434880,Vfaba.Hedin2.R1.3g194640,MtrunA17_Chr1g0146311,Psat6g035200
LATSA3860_EIv1.0_0434910,Vfaba.Hedin2.R1.3g194520,MtrunA17_Chr1g0146291,Psat6g037080
LATSA3860_EIv1.0_0435430,Vfaba.Hedin2.R1.1g300080,MtrunA17_Chr2g0309561,Psat1g015960
LATSA3860_EIv1.0_0435570,Vfaba.Hedin2.R1.1g300280,MtrunA17_Chr2g0309681,Psat0s13g0200
LATSA3860_EIv1.0_0436030,Vfaba.Hedin2.R1.2g178520,MtrunA17_Chr3g0136601,Psat5g033760
LATSA3860_EIv1.0_0436740,Vfaba.Hedin2.R1.6g026680,MtrunA17_Chr4g0028801,Psat0s744g0040
LATSA3860_EIv1.0_0436860,Vfaba.Hedin2.R1.6g027080,MtrunA17_Chr4g0028831,Psat7g192160
LATSA3860_EIv1.0_0436880,Vfaba.Hedin2.R1.6g027040,MtrunA17_Chr4g0028841,Psat7g192120
LATSA3860_EIv1.0_0436910,Vfaba.Hedin2.R1.6g027440,MtrunA17_Chr4g0028851,Psat7g192080
LATSA3860_EIv1.0_0438450,Vfaba.Hedin2.R1.1g383480,MtrunA17_Chr5g0398491,Psat2g180400
LATSA3860_EIv1.0_0438470,Vfaba.Hedin2.R1.1g383520,MtrunA17_Chr5g0398481,Psat2g180440
LATSA3860_EIv1.0_0438480,Vfaba.Hedin2.R1.1g383560,MtrunA17_Chr5g0398471,Psat2g180480
LATSA3860_EIv1.0_0438490,Vfaba.Hedin2.R1.1g383600,MtrunA17_Chr5g0398451,Psat2g180560
LATSA3860_EIv1.0_0438500,Vfaba.Hedin2.R1.1g383640,MtrunA17_Chr5g0398441,Psat2g180600
LATSA3860_EIv1.0_0438520,Vfaba.Hedin2.R1.1g383720,MtrunA17_Chr5g0398421,Psat2g180680
LATSA3860_EIv1.0_0438620,Vfaba.Hedin2.R1.1g383920,MtrunA17_Chr5g0398291,Psat2g180800
LATSA3860_EIv1.0_0438660,Vfaba.Hedin2.R1.1g384200,MtrunA17_Chr5g0398211,Psat2g181040
LATSA3860_EIv1.0_0438730,Vfaba.Hedin2.R1.1g385920,MtrunA17_Chr5g0397621,Psat2g182920
LATSA3860_EIv1.0_0438750,Vfaba.Hedin2.R1.1g385880,MtrunA17_Chr5g0397641,Psat0s748g0120
LATSA3860_EIv1.0_0438760,Vfaba.Hedin2.R1.1g385840,MtrunA17_Chr5g0397651,Psat0s748g0080
LATSA3860_EIv1.0_0439270,Vfaba.Hedin2.R1.3g206200,MtrunA17_Chr1g0149801,Psat6g028840
LATSA3860_EIv1.0_0439330,Vfaba.Hedin2.R1.Ung077640,MtrunA17_Chr1g0149721,Psat6g028680
LATSA3860_EIv1.0_0439380,Vfaba.Hedin2.R1.3g203640,MtrunA17_Chr1g0149651,Psat6g028400
LATSA3860_EIv1.0_0440190,Vfaba.Hedin2.R1.3g042760,MtrunA17_Chr1g0180391,Psat6g075440
LATSA3860_EIv1.0_0440210,Vfaba.Hedin2.R1.3g042720,MtrunA17_Chr1g0180401,Psat6g075040
LATSA3860_EIv1.0_0440690,Vfaba.Hedin2.R1.5g158040,MtrunA17_Chr7g0268401,Psat3g026200
LATSA3860_EIv1.0_0440710,Vfaba.Hedin2.R1.5g158120,MtrunA17_Chr7g0268351,Psat3g026000
LATSA3860_EIv1.0_0440760,Vfaba.Hedin2.R1.5g158480,MtrunA17_Chr7g0268481,Psat3g025480
LATSA3860_EIv1.0_0440920,Vfaba.Hedin2.R1.5g158760,MtrunA17_Chr7g0268551,Psat3g025160
LATSA3860_EIv1.0_0441300,Vfaba.Hedin2.R1.1g079760,MtrunA17_Chr2g0316221,Psat5g239320
LATSA3860_EIv1.0_0441380,Vfaba.Hedin2.R1.Ung094800,MtrunA17_Chr2g0316241,Psat5g239200
LATSA3860_EIv1.0_0442340,Vfaba.Hedin2.R1.1g196040,MtrunA17_Chr5g0420091,Psat2g092880
LATSA3860_EIv1.0_0442370,Vfaba.Hedin2.R1.1g196000,MtrunA17_Chr5g0420081,Psat2g087800
LATSA3860_EIv1.0_0442950,Vfaba.Hedin2.R1.5g083080,MtrunA17_Chr7g0252191,Psat3g093320
LATSA3860_EIv1.0_0443000,Vfaba.Hedin2.R1.5g082760,MtrunA17_Chr7g0252121,Psat3g093520
LATSA3860_EIv1.0_0443010,Vfaba.Hedin2.R1.5g082720,MtrunA17_Chr7g0252091,Psat3g093560
LATSA3860_EIv1.0_0443120,Vfaba.Hedin2.R1.5g082280,MtrunA17_Chr7g0252021,Psat3g093920
LATSA3860_EIv1.0_0443150,Vfaba.Hedin2.R1.5g082160,MtrunA17_Chr7g0252001,Psat3g094000
LATSA3860_EIv1.0_0443160,Vfaba.Hedin2.R1.5g082120,MtrunA17_Chr7g0251991,Psat3g094040
LATSA3860_EIv1.0_0443180,Vfaba.Hedin2.R1.5g082080,MtrunA17_Chr7g0251981,Psat3g094120
LATSA3860_EIv1.0_0443190,Vfaba.Hedin2.R1.5g082040,MtrunA17_Chr7g0251901,Psat0s1497g0040
LATSA3860_EIv1.0_0443210,Vfaba.Hedin2.R1.5g082000,MtrunA17_Chr7g0251891,Psat3g094680
LATSA3860_EIv1.0_0443570,Vfaba.Hedin2.R1.3g211800,MtrunA17_Chr1g0151051,Psat6g022000
LATSA3860_EIv1.0_0443620,Vfaba.Hedin2.R1.3g212000,MtrunA17_Chr1g0151071,Psat6g021760
LATSA3860_EIv1.0_0443660,Vfaba.Hedin2.R1.3g212160,MtrunA17_Chr1g0151081,Psat6g021720
LATSA3860_EIv1.0_0443690,Vfaba.Hedin2.R1.Ung040840,MtrunA17_Chr1g0151151,Psat6g021640
LATSA3860_EIv1.0_0443730,Vfaba.Hedin2.R1.3g212920,MtrunA17_Chr1g0151191,Psat6g021480
LATSA3860_EIv1.0_0443740,Vfaba.Hedin2.R1.3g212960,MtrunA17_Chr1g0151201,Psat6g021440
LATSA3860_EIv1.0_0445790,Vfaba.Hedin2.R1.3g027880,MtrunA17_Chr1g0173921,Psat6g090920
LATSA3860_EIv1.0_0446340,Vfaba.Hedin2.R1.1g299600,MtrunA17_Chr2g0302111,Psat1g017160
LATSA3860_EIv1.0_0446380,Vfaba.Hedin2.R1.1g299400,MtrunA17_Chr2g0302391,Psat1g017320
LATSA3860_EIv1.0_0446480,Vfaba.Hedin2.R1.1g299240,MtrunA17_Chr2g0302451,Psat1g017480
LATSA3860_EIv1.0_0446870,Vfaba.Hedin2.R1.5g135680,MtrunA17_Chr7g0263671,Psat3g044800
LATSA3860_EIv1.0_0446880,Vfaba.Hedin2.R1.5g135720,MtrunA17_Chr7g0263691,Psat3g044880
LATSA3860_EIv1.0_0447530,Vfaba.Hedin2.R1.4g191960,MtrunA17_Chr4g0067281,Psat4g025760
LATSA3860_EIv1.0_0447550,Vfaba.Hedin2.R1.4g192040,MtrunA17_Chr4g0067301,Psat4g025840
LATSA3860_EIv1.0_0448080,Vfaba.Hedin2.R1.1g066560,MtrunA17_Chr2g0320611,Psat5g252440
LATSA3860_EIv1.0_0448130,Vfaba.Hedin2.R1.1g066640,MtrunA17_Chr2g0320631,Psat5g253840
LATSA3860_EIv1.0_0448140,Vfaba.Hedin2.R1.1g066680,MtrunA17_Chr2g0320641,Psat5g253880
LATSA3860_EIv1.0_0448160,Vfaba.Hedin2.R1.1g066720,MtrunA17_Chr2g0320661,Psat5g253920
LATSA3860_EIv1.0_0448170,Vfaba.Hedin2.R1.1g066760,MtrunA17_Chr2g0320671,Psat5g253960
LATSA3860_EIv1.0_0448890,Vfaba.Hedin2.R1.1g470000,MtrunA17_Chr2g0283321,Psat1g200360
LATSA3860_EIv1.0_0449060,Vfaba.Hedin2.R1.Ung048760,MtrunA17_Chr2g0283271,Psat1g200640
LATSA3860_EIv1.0_0449990,Vfaba.Hedin2.R1.6g150440,MtrunA17_Chr8g0382891,Psat7g051760
LATSA3860_EIv1.0_0451070,Vfaba.Hedin2.R1.5g147800,MtrunA17_Chr7g0265931,Psat3g034600
LATSA3860_EIv1.0_0451080,Vfaba.Hedin2.R1.5g147880,MtrunA17_Chr7g0265941,Psat3g034640
LATSA3860_EIv1.0_0451870,Vfaba.Hedin2.R1.5g170680,MtrunA17_Chr7g0270851,Psat3g016840
LATSA3860_EIv1.0_0451890,Vfaba.Hedin2.R1.5g170800,MtrunA17_Chr7g0270871,Psat3g017360
LATSA3860_EIv1.0_0451900,Vfaba.Hedin2.R1.5g170840,MtrunA17_Chr7g0270881,Psat3g017400
LATSA3860_EIv1.0_0451910,Vfaba.Hedin2.R1.5g170920,MtrunA17_Chr7g0270891,Psat0s581g0040
LATSA3860_EIv1.0_0452550,Vfaba.Hedin2.R1.1g008240,MtrunA17_Chr7g0217221,Psat0s3232g0080
LATSA3860_EIv1.0_0452560,Vfaba.Hedin2.R1.1g008120,MtrunA17_Chr7g0217181,Psat3g196920
LATSA3860_EIv1.0_0452600,Vfaba.Hedin2.R1.1g007880,MtrunA17_Chr7g0217121,Psat3g196440
LATSA3860_EIv1.0_0453160,Vfaba.Hedin2.R1.4g196520,MtrunA17_Chr4g0068301,Psat4g024160
LATSA3860_EIv1.0_0453170,Vfaba.Hedin2.R1.4g196560,MtrunA17_Chr4g0068311,Psat4g024120
LATSA3860_EIv1.0_0453630,Vfaba.Hedin2.R1.1g469320,MtrunA17_Chr2g0283561,Psat0s5337g0040
LATSA3860_EIv1.0_0453650,Vfaba.Hedin2.R1.Ung003760,MtrunA17_Chr2g0283581,Psat1g199960
LATSA3860_EIv1.0_0453680,Vfaba.Hedin2.R1.1g469080,MtrunA17_Chr2g0283631,Psat1g199440
LATSA3860_EIv1.0_0454470,Vfaba.Hedin2.R1.6g017240,MtrunA17_Chr4g0025511,Psat7g204400
LATSA3860_EIv1.0_0455730,Vfaba.Hedin2.R1.1g366400,MtrunA17_Chr5g0402501,Psat2g165440
LATSA3860_EIv1.0_0455750,Vfaba.Hedin2.R1.1g366280,MtrunA17_Chr5g0402541,Psat2g165360
LATSA3860_EIv1.0_0455780,Vfaba.Hedin2.R1.6g101280,MtrunA17_Chr4g0049731,Psat2g165560
LATSA3860_EIv1.0_0455830,Vfaba.Hedin2.R1.1g365960,MtrunA17_Chr5g0402601,Psat2g166840
LATSA3860_EIv1.0_0455870,Vfaba.Hedin2.R1.1g365800,MtrunA17_Chr5g0402621,Psat2g165040
LATSA3860_EIv1.0_0456380,Vfaba.Hedin2.R1.2g163520,MtrunA17_Chr3g0133551,Psat5g044920
LATSA3860_EIv1.0_0458770,Vfaba.Hedin2.R1.Ung052880,MtrunA17_Chr3g0096311,Psat0s3897g0040
LATSA3860_EIv1.0_0459460,Vfaba.Hedin2.R1.1g129600,MtrunA17_Chr6g0455651,Psat1g064880
LATSA3860_EIv1.0_0459470,Vfaba.Hedin2.R1.1g129640,MtrunA17_Chr6g0455591,Psat1g064920
LATSA3860_EIv1.0_0459520,Vfaba.Hedin2.R1.1g129680,MtrunA17_Chr6g0455571,Psat1g065000
LATSA3860_EIv1.0_0460040,Vfaba.Hedin2.R1.3g039640,MtrunA17_Chr1g0178331,Psat6g084200
LATSA3860_EIv1.0_0461420,Vfaba.Hedin2.R1.4g036720,MtrunA17_Chr8g0351761,Psat4g149160
LATSA3860_EIv1.0_0462240,Vfaba.Hedin2.R1.2g161920,MtrunA17_Chr3g0133061,Psat5g046280
LATSA3860_EIv1.0_0462280,Vfaba.Hedin2.R1.2g161800,MtrunA17_Chr3g0133021,Psat5g046360
LATSA3860_EIv1.0_0462350,Vfaba.Hedin2.R1.2g161680,MtrunA17_Chr3g0133001,Psat5g046840
LATSA3860_EIv1.0_0462400,Vfaba.Hedin2.R1.2g161600,MtrunA17_Chr3g0132981,Psat5g048320
LATSA3860_EIv1.0_0463820,Vfaba.Hedin2.R1.3g008480,MtrunA17_Chr1g0212021,Psat6g234000
LATSA3860_EIv1.0_0463860,Vfaba.Hedin2.R1.3g008600,MtrunA17_Chr1g0212001,Psat6g233800
LATSA3860_EIv1.0_0463870,Vfaba.Hedin2.R1.3g008640,MtrunA17_Chr1g0211991,Psat6g233840
LATSA3860_EIv1.0_0463880,Vfaba.Hedin2.R1.3g008680,MtrunA17_Chr1g0211971,Psat6g233960
LATSA3860_EIv1.0_0464310,Vfaba.Hedin2.R1.1g316360,MtrunA17_Chr5g0415451,Psat2g115920
LATSA3860_EIv1.0_0464640,Vfaba.Hedin2.R1.3g166080,MtrunA17_Chr1g0209741,Psat6g227880
LATSA3860_EIv1.0_0464650,Vfaba.Hedin2.R1.3g166120,MtrunA17_Chr1g0209771,Psat6g227840
LATSA3860_EIv1.0_0465170,Vfaba.Hedin2.R1.4g039560,MtrunA17_Chr8g0353081,Psat4g144800
LATSA3860_EIv1.0_0468160,Vfaba.Hedin2.R1.3g123720,MtrunA17_Chr1g0200561,Psat6g187480
LATSA3860_EIv1.0_0468190,Vfaba.Hedin2.R1.3g123640,MtrunA17_Chr1g0200551,Psat6g187400
LATSA3860_EIv1.0_0468200,Vfaba.Hedin2.R1.3g123560,MtrunA17_Chr1g0200511,Psat6g187320
LATSA3860_EIv1.0_0468210,Vfaba.Hedin2.R1.3g123520,MtrunA17_Chr1g0200501,Psat6g187200
LATSA3860_EIv1.0_0468240,Vfaba.Hedin2.R1.Ung098600,MtrunA17_Chr1g0200581,Psat6g187560
LATSA3860_EIv1.0_0468250,Vfaba.Hedin2.R1.Ung098560,MtrunA17_Chr1g0200601,Psat6g187600
LATSA3860_EIv1.0_0470620,Vfaba.Hedin2.R1.1g147000,MtrunA17_Chr6g0449521,Psat1g055560
LATSA3860_EIv1.0_0471050,Vfaba.Hedin2.R1.6g155200,MtrunA17_Chr8g0384101,Psat7g047960
LATSA3860_EIv1.0_0471080,Vfaba.Hedin2.R1.6g155040,MtrunA17_Chr8g0384081,Psat7g047480
LATSA3860_EIv1.0_0471100,Vfaba.Hedin2.R1.6g155000,MtrunA17_Chr8g0384061,Psat7g047440
LATSA3860_EIv1.0_0473510,Vfaba.Hedin2.R1.5g013000,MtrunA17_Chr2g0329921,Psat5g289920
LATSA3860_EIv1.0_0474320,Vfaba.Hedin2.R1.Ung062280,MtrunA17_Chr4g0029011,Psat0s134g0040
LATSA3860_EIv1.0_0474710,Vfaba.Hedin2.R1.4g192360,MtrunA17_Chr4g0067341,Psat0s3456g0040
LATSA3860_EIv1.0_0474750,Vfaba.Hedin2.R1.4g192480,MtrunA17_Chr4g0067371,Psat4g027440
LATSA3860_EIv1.0_0474760,Vfaba.Hedin2.R1.4g192560,MtrunA17_Chr4g0067401,Psat4g027360
LATSA3860_EIv1.0_0474770,Vfaba.Hedin2.R1.4g192600,MtrunA17_Chr4g0067411,Psat4g027320
LATSA3860_EIv1.0_0474810,Vfaba.Hedin2.R1.4g192800,MtrunA17_Chr4g0067461,Psat4g026720
LATSA3860_EIv1.0_0474840,Vfaba.Hedin2.R1.4g192960,MtrunA17_Chr4g0067481,Psat4g026560
LATSA3860_EIv1.0_0474890,Vfaba.Hedin2.R1.4g194040,MtrunA17_Chr4g0067531,Psat4g025240
LATSA3860_EIv1.0_0475720,Vfaba.Hedin2.R1.2g055480,MtrunA17_Chr3g0104551,Psat5g160000
LATSA3860_EIv1.0_0475750,Vfaba.Hedin2.R1.2g055360,MtrunA17_Chr3g0104521,Psat5g159760
LATSA3860_EIv1.0_0476090,Vfaba.Hedin2.R1.5g172400,MtrunA17_Chr7g0271231,Psat0ss8606g0040
LATSA3860_EIv1.0_0476130,Vfaba.Hedin2.R1.5g172520,MtrunA17_Chr7g0271241,Psat0s1370g0040
LATSA3860_EIv1.0_0476950,Vfaba.Hedin2.R1.1g102600,MtrunA17_Chr6g0472501,Psat6g241880
LATSA3860_EIv1.0_0478100,Vfaba.Hedin2.R1.1g294680,MtrunA17_Chr2g0304641,Psat0s1968g0080
LATSA3860_EIv1.0_0478400,Vfaba.Hedin2.R1.5g045280,MtrunA17_Chr7g0238911,Psat3g139080
LATSA3860_EIv1.0_0479400,Vfaba.Hedin2.R1.1g119200,MtrunA17_Chr6g0459241,Psat1g085600
LATSA3860_EIv1.0_0480050,Vfaba.Hedin2.R1.2g155120,MtrunA17_Chr3g0131581,Psat5g055280
LATSA3860_EIv1.0_0480130,Vfaba.Hedin2.R1.2g154960,MtrunA17_Chr3g0131521,Psat5g056080
LATSA3860_EIv1.0_0480150,Vfaba.Hedin2.R1.2g154920,MtrunA17_Chr3g0131501,Psat5g056120
LATSA3860_EIv1.0_0480240,Vfaba.Hedin2.R1.2g154520,MtrunA17_Chr3g0131351,Psat5g055960
LATSA3860_EIv1.0_0480270,Vfaba.Hedin2.R1.2g154440,MtrunA17_Chr3g0131331,Psat5g057200
LATSA3860_EIv1.0_0480740,Vfaba.Hedin2.R1.3g170000,MtrunA17_Chr1g0210601,Psat0s4121g0040
LATSA3860_EIv1.0_0480770,Vfaba.Hedin2.R1.3g170480,MtrunA17_Chr1g0210681,Psat6g231000
LATSA3860_EIv1.0_0480780,Vfaba.Hedin2.R1.5g122360,MtrunA17_Chr1g0210711,Psat6g230960
LATSA3860_EIv1.0_0480820,Vfaba.Hedin2.R1.3g170240,MtrunA17_Chr1g0210741,Psat6g230760
LATSA3860_EIv1.0_0481700,Vfaba.Hedin2.R1.1g295880,MtrunA17_Chr2g0304111,Psat1g020800
LATSA3860_EIv1.0_0481720,Vfaba.Hedin2.R1.1g296000,MtrunA17_Chr2g0304091,Psat1g020720
LATSA3860_EIv1.0_0481760,Vfaba.Hedin2.R1.1g296080,MtrunA17_Chr2g0304061,Psat1g020600
LATSA3860_EIv1.0_0481780,Vfaba.Hedin2.R1.1g296120,MtrunA17_Chr2g0304041,Psat1g020560
LATSA3860_EIv1.0_0483230,Vfaba.Hedin2.R1.4g215080,MtrunA17_Chr4g0072111,Psat0s3717g0080
LATSA3860_EIv1.0_0483670,Vfaba.Hedin2.R1.4g006160,MtrunA17_Chr8g0362571,Psat4g132240
LATSA3860_EIv1.0_0484860,Vfaba.Hedin2.R1.4g108480,MtrunA17_Chr8g0370391,Psat4g103680
